Timestamp,Data Science Student,Test Subject,Addition Score Thunderstruck,Addition score with My Girl,Addition score with Yes Indeed
4/23/2019 9:10:22,41,45,50,M,
4/23/2019 9:26:08,39,33,29,M,
4/23/2019 9:27:11,38,45,43,M,
4/23/2019 9:30:55,29,34,20,M,
4/23/2019 9:36:45,30,29,29,M,
4/23/2019 9:37:07,32,39,40,M,
4/24/2019 17:44:27,47,43,46,F,
4/24/2019 20:17:30,43,45,47,F,
4/24/2019 20:26:03,35,34,37,F,
4/24/2019 20:32:44,33,37,39,M,
4/24/2019 20:45:23,47,42,44,F,
4/24/2019 21:02:31,33,34,32,M,
4/24/2019 21:12:01,21,27,23,M,
4/24/2019 21:20:35,45,38,50,M,
4/24/2019 21:22:26,25,38,39,M,
4/24/2019 21:23:28,28,28,28,M,
4/24/2019 21:24:39,47,44,40,F,
4/24/2019 21:33:58,54,54,41,M,
4/24/2019 21:42:20,60,57,61,M,
4/24/2019 21:42:22,35,39,33,M,
4/24/2019 21:42:41,44,54,51,M,
4/24/2019 21:43:09,38,41,44,M,
4/24/2019 21:52:23,32,28,29,F,
4/24/2019 21:52:57,33,21,34,F,
4/24/2019 21:53:31,28,29,20,F,
4/24/2019 22:12:49,44,44,47,M,
4/24/2019 22:14:02,14,19,20,M,
4/24/2019 22:15:35,26,28,30,M,
4/24/2019 22:20:54,30,28,35,M,
4/24/2019 22:24:05,6,8,3,F,
4/24/2019 22:26:28,17,14,18,M,
4/24/2019 22:28:23,32,29,23,M,
4/24/2019 22:29:04,30,28,32,M,
4/24/2019 22:33:56,28,33,39,F,
4/24/2019 23:09:01,50,46,44,M,
4/24/2019 23:10:43,45,41,40,M,
4/25/2019 9:28:34,21,22,25,M,
4/25/2019 9:35:15,34,39,37,M,
4/25/2019 9:37:26,31,30,39,F,
4/25/2019 9:48:36,31,34,36,F,
4/25/2019 10:03:24,42,40,44,F,
4/25/2019 10:22:58,34,35,37,F,
4/25/2019 10:42:33,17,29,23,F,