ModelYear,Trim,Hybrid,VIN,Mileage,Price
2018,SE,FALSE,4T1B11HKXJU054087,5275,17998
2015,unknown,FALSE,4T1BK1FK9FU565748,43696,17898
2017,SE,FALSE,4T1BF1FKXHU310243,41522,17700
2018,LE,FALSE,4T1B11HK9JU562809,5242,16998
2014,XLE,FALSE,4T1BK1FK1EU539224,38410,16965
2017,SE,FALSE,4T1BF1FK2HU788124,9930,16299
2016,XLE,FALSE,4T1BF1FK3GU529995,38745,16264
2015,XLE,FALSE,4T1BD1FK4FU175540,79502,15980
2018,LE,FALSE,4T1B11HK9JU071771,18300,15575
2017,LE,FALSE,4T1BF1FK5HU616489,34534,15500
2016,SE,FALSE,4T1BF1FK8GU586824,44917,15197
2017,SE,FALSE,4T1BF1FK6HU321417,13283,14999
2016,LE,TRUE,4T1BD1FK2GU195125,22208,14900
2017,SE,FALSE,4T1BF1FK5HU650240,51218,14795
2016,XLE,FALSE,4T1BF1FK5GU216558,53612,14497
2015,SE,FALSE,4T1BF1FK9FU064735,33626,13999
2016,LE ,FALSE,4T1NF1FK1GU134410,12142,13999
2017,LE,FALSE,4T1BF1FK0HU375180,24688,13995
2017,SE,FALSE,4T1BF1FK5HU787176,28828,13775
2017,LE,FALSE,4T1BF1FKXHU625348,22123,13490
2015,XLE,FALSE,4T1BF1FK6FU106665,30640,13421
2015,LE,FALSE,4T4BF1FK4FR463400,26526,12999
2015,LE,FALSE,4TBF1FK4FR463400,26526,12999
2016,LE,FALSE,4T1BF1FK7GU998801,40125,12990
2017,SE,FALSE,4T1BF1FK2FU965753,32003,12985
2015,SE,FALSE,4T1BF1FK2FU038798,37091,12899
2015,SE,FALSE,4T1BF1FK2FUO38798,37091,12899
2015,LE,FALSE,4T4BF1FK6FR452656,27017,12899
2015,SE,FALSE,4T1BF1FK0FU053946,35243,12480
2013,SE,FALSE,4T1BF1FK1DU268488,61932,12434
2017,SE,FALSE,4T1BF1FK3HU749767,47440,12094
2013,LE,FALSE,4T4BF1FKXDR296120,59610,12000
2012,LEz,FALSE,4T1BF1FKXCU040181,81848,11699
2014,L,FALSE,4T1BF1FK1EU862967,26804,11600
2013,SE,FALSE,4T1BF1FK1DU286571,32138,11499
2010,Unknown,FALSE,4T4BF3EK5AR028570,57441,10999
2014,LE,TRUE,4T1BD1FK0EU133509,60100,10995
2011,SE,FALSE,4T1BF3EK8BU679753,87046,10200
2012,XLE,FALSE,4T4BF1K6CR188205,95000,8900
2007,,TRUE,JTNBB46K873002795,90915,7499
2011,LE,FALSE,4T1BF3EK0BU698538,80395,7000
2009,XLE,FALSE,4T1BK46K19U577298,89355,6996
2009,Unknown,TRUE,4T1BB46K29U109810,68500,6995
2012,SE,FALSE,4T1BF1FK9CU027,132168,6995
2011,LE,FALSE,4T1BF3EK8BU183013,133396,6995
2009,XLE,FALSE,4T1BK46K19U57729,89355,6995
2009,LE,FALSE,4T1BE46K69U396558,109291,6994
2007,CE,FALSE,4T1BE46K37U709790,155894,5998
2010,LE,FALSE,4T1BF3EK6AU103657,116893,5995
2006,unknown,FALSE,4T1BE30K96U699655,64955,5295
2002,SE,FALSE,4T1BE32KX2U079582,97097,4891
2004,LE,FALSE,4T1BE32K74U337852,129740,4699
2003,XLE,FALSE,K4T1BE30K23U230967,136298,4690
2008,SE V6,FALSE,4T1BK46KX8U560921,106296,4500
2007,unknown,FALSE,4T1BE46K77U602726,169960,4000
2007,CE,FALSE,JTNBE46K473046963,137431,3995
2016,LE,FALSE,4T1BF1FK7GU207943,27758,2995
2000,XLE,FALSE,4T1BF28K0YU936872,111000,2400
2006,LE,FALSE,4T1BE32K96U652025,234306,1988
2003,SE,FALSE,JTDBE32K730165297,202322,1500