world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
73,Ecole Normale Superieure - Paris,3,27.7,53.4,24.5,12.6,17.2,25.9,56.2,2008
73,University of Melbourne,2,27.7,13.7,14.1,23.1,19.6,58.1,26.7,2008
73,University of Rochester,44,27.7,29.6,8.9,27.3,21.6,44.1,36.1,2008
72,Leiden University,2,27.7,21.9,15.5,29,17.9,47.2,29.1,2009
72,University of Helsinki,1,27.7,16.4,17.9,21.8,20.7,51.8,29.2,2009
75,Osaka University,3,27.7,10.7,0,26.9,27.9,60.2,27.8,2010
75,University of Oslo,1,27.7,22,33.3,17.6,13.5,46.6,24.3,2010
76,Boston University,44,27.7,13.2,11.5,29.8,25.8,50.7,20.6,2011
73,Tohoku University,4,27.8,18.8,0,19.2,26.9,65.3,29,2005
73,University of Arizona,44,27.8,0,0,29.4,36.8,55.8,25.7,2005
72,Leiden University,2,27.8,24.2,15.5,28.8,18.9,46,28.5,2006
73,University of Helsinki,1,27.8,17.6,17.9,19.6,21.7,52.7,28.9,2007
71,Osaka University,3,27.8,10.9,0,26.2,27.8,62,28.3,2009
74,Leiden University,2,27.8,18.5,9.5,28.9,23,47.9,33.1,2013
72,Boston University,42,27.8,11.8,11.5,29.9,27,50.3,21.9,2014
71,Ghent University,1,27.8,5.1,13.3,26.9,18.3,57.5,34.5,2015
72,Leiden University,2,27.9,25.1,15.8,27.2,19.3,46.7,28.1,2005
70,Case Western Reserve University,42,27.9,39.2,11.5,21.8,22,43.9,33.6,2006
70,Moscow State University,1,27.9,49.5,34.2,0,5.6,54.3,33.4,2006
72,The University of Sheffield,8,27.9,22,14.1,22.2,27.8,46,29.5,2007
71,Brown University,43,27.9,16.8,13.6,31.8,26.6,40.4,29.9,2008
71,Uppsala University,2,27.9,23.1,32.2,12.6,19.3,49.5,21,2008
74,Moscow State University,1,27.9,46.8,34.1,0,9.6,52.4,31.2,2010
75,University of Oslo,1,27.9,20.4,33.3,17.7,14.9,47.5,24.1,2011
72,University of Florida,44,27.9,18,0,37.4,20,60.4,17.1,2012
71,University of Heidelberg,3,28,10.9,27.7,20.8,20.9,48.1,26.9,2005
71,Leiden University,2,28,23.5,15.5,28.7,20.9,45.2,28.2,2007
74,University of Helsinki,1,28,14.4,17.8,23.9,20.8,51.2,29.4,2011
71,Boston University,43,28,12.1,11.9,29.8,26.6,51.2,20.8,2012
73,Uppsala University,2,28,18.5,27.6,14.5,24.7,47.9,24.7,2013
70,Ghent University,1,28,5.3,13.3,26.9,19.6,57.1,33.9,2014
70,The Hebrew University of Jerusalem,1,28,32.9,28.2,19.6,21.3,37.2,27.8,2014
70,Brown University,43,28.1,17.6,13.6,31.4,28.2,39.9,29.6,2007
70,Moscow State University,1,28.1,49.1,34.2,0,8.3,53.2,33.4,2008
70,Ecole Normale Superieure - Paris,3,28.1,52.1,24.5,12.6,17.9,27.6,57.1,2009
72,The Hebrew University of Jerusalem,1,28.1,31.5,19.9,24.9,20.8,41.6,26.5,2010
72,University of Helsinki,1,28.1,16,17.8,22.8,20.6,52.7,28.2,2010
73,University of Geneva,3,28.1,25,28.1,20.4,25.6,36.6,26.5,2011
69,University of Oslo,1,28.1,18.2,32.6,15.9,16.5,50,25.9,2014
70,"University of Pittsburgh, Pittsburgh Campus",41,28.1,18.5,0,39.8,19.2,59.6,18.3,2015
69,University of Oslo,1,28.2,24.3,33.4,18.2,16.8,42.5,27.9,2007
67,The Hebrew University of Jerusalem,1,28.2,32,28.2,19.6,21.5,37.6,29.1,2015
67,The Ohio State University - Columbus,40,28.2,12.6,0,38.3,22.8,60.9,18.9,2015
67,University of Helsinki,1,28.2,12.6,16.3,25.2,22.4,51.8,31.3,2015
69,Case Western Reserve University,43,28.3,40.7,11.8,20.8,23,44.8,33.7,2005
69,University of Oslo,1,28.3,25.9,34.1,17.6,18.2,41.5,26.4,2005
68,Purdue University - West Lafayette,42,28.3,17.6,16.7,29.6,20.9,51.3,20.2,2007
68,Osaka University,3,28.3,11.2,0,26.3,28.2,63.6,28.7,2008
68,University of Helsinki,1,28.3,16.8,17.9,21.9,20.8,53.8,30.1,2008
71,Ecole Normale Superieure - Paris,3,28.3,50.8,24.4,12.5,18.7,27.9,56.7,2010
67,Ecole Normale Superieure - Paris,3,28.3,50.2,28,11.2,16.8,26.8,59.8,2014
67,McGill University,3,28.3,31.1,0,22.8,27.1,59.4,26.2,2014
66,University of Bristol,8,28.3,7.3,16.3,25.7,32.4,45.5,29.3,2015
67,McGill University,3,28.4,28.8,0,28.3,23.6,56.8,30,2005
67,Moscow State University,1,28.4,51.4,34.9,0,7.5,54,31.6,2005
67,University of Heidelberg,3,28.4,17.7,27.2,17.9,20.4,49.2,29.3,2008
69,Brown University,43,28.4,16.4,13.6,31.6,28.6,41,30.7,2009
70,Leiden University,2,28.4,21.3,15.4,27.9,19.9,47.8,32.4,2010
72,University of Florida,43,28.4,19.5,0,37.5,19.7,62.1,17.3,2011
70,University of Bristol,8,28.4,7.7,16.8,28.9,29.6,45.3,27.3,2012
69,The University of Sheffield,8,28.5,22.6,14.1,23.1,29.2,45.8,30.2,2006
65,King's College London,8,28.5,14.5,23.1,29,15,49.2,30.4,2009
65,McGill University,3,28.5,25,0,32.4,22.8,58.6,24.9,2009
65,Purdue University - West Lafayette,42,28.5,16.4,16.7,29.9,21.9,51.7,20.9,2009
65,University of Oslo,1,28.5,22.5,33.4,17.8,16.1,45.6,29.2,2009
69,University of Geneva,3,28.5,23,29.1,20.5,26.7,37,26.9,2012
71,Ecole Normale Superieure - Paris,3,28.5,51,28.2,12.4,16.7,26.7,58.3,2013
71,University of Florida,43,28.5,17.7,0,37.4,22.5,61,17.6,2013
66,University of Geneva,3,28.5,22.3,28.2,18.9,29,37.8,28.3,2014
64,McGill University,3,28.5,32.8,0,22.8,27.3,59.3,26.8,2015
64,"Rutgers, The State University of New Jersey - New Brunswick",39,28.5,10.3,18.8,34.5,24.8,44.6,22.9,2015
65,The University of Sheffield,8,28.6,23.5,14.4,23.6,29.2,46.6,27.1,2005
65,University of Rochester,42,28.6,33.2,9.1,27.2,25.3,43,36.1,2005
68,University of Oslo,1,28.6,25,33.4,18.8,17.7,42.7,28.5,2006
67,Osaka University,3,28.6,11.8,0,24.6,30.4,64,28.5,2007
64,The Hebrew University of Jerusalem,1,28.6,28.9,20,24.1,22.6,43.9,28.5,2009
69,Purdue University - West Lafayette,43,28.6,16,16.6,29.7,22.4,51.8,20.6,2010
70,The Australian National University,2,28.6,15.6,12.6,33.9,26.3,43.5,29.2,2011
70,University of Bristol,8,28.6,8.3,17.8,28.4,29.6,45.6,26.7,2011
68,King's College London,7,28.6,13.3,21.7,30.7,17.7,50.9,22.3,2012
65,University of Pittsburgh-Pittsburgh Campus,41,28.6,19,0,39.8,19.2,61.9,18.5,2014
63,University of Heidelberg,3,28.7,17.3,27.2,17.8,22.5,49,29.5,2009
69,Ecole Normale Superieure - Paris,3,28.7,54.2,24.4,12.5,19.4,27.4,57.2,2011
69,University of Geneva,3,28.7,22.7,28.4,20.5,27.9,37.7,27.5,2013
69,University of Oslo,1,28.7,18.5,32.8,17.7,16.5,50.6,25.6,2013
64,The Ohio State University - Columbus,40,28.7,12.9,0,38.3,25.5,60.6,18.8,2014
64,University of Bristol,7,28.8,10.9,18.2,30.4,24.5,47.5,27.4,2005
66,Uppsala University,2,28.8,24.3,32.2,12.8,23.6,49.1,21,2007
65,Purdue University - West Lafayette,42,28.8,16.8,16.7,30.1,22,52.8,21,2008
65,The Hebrew University of Jerusalem,1,28.8,29.6,20,24.2,22.9,44.1,28.7,2008
68,University of Florida,42,28.8,19.2,0,36.7,20.6,63.9,17.5,2010
67,Brown University,42,28.8,15.1,13.4,32.4,27.7,42.6,32.6,2013
67,King's College London,8,28.8,13.1,21.2,30.7,17.4,52.5,23.2,2013
65,University of Heidelberg,3,28.9,18.6,27.2,18.2,22.8,48.7,29,2007
66,University of Bristol,8,28.9,9.2,17.8,28.8,29.1,47.3,25.1,2010
66,Uppsala University,2,28.9,22,32.1,14.4,19.9,49.5,26.6,2010
68,King's College London,7,28.9,14.4,23,30.6,17.6,50.4,22.8,2011
67,University of Oslo,1,28.9,18.8,33.6,17.7,15.9,51.1,25.4,2012
66,The Australian National University,2,28.9,14.1,19.4,32.3,24,43,29.3,2013
63,University of Bristol,8,28.9,7.4,16.3,25.7,34.2,46.3,29.5,2014
66,The Ohio State University - Columbus,41,29,17.1,0,40.7,20.6,61.3,19.7,2006
66,University of Heidelberg,3,29,19.1,27.2,18.8,21.5,49.5,29.5,2006
64,The Hebrew University of Jerusalem,1,29,31.1,20,24.6,23.3,43.6,28.2,2007
64,University of Oslo,1,29,23.1,33.4,17.9,17,46.7,29.8,2008
65,Brown University,41,29,16,13.6,31.4,29.6,41.9,32.1,2010
67,Uppsala University,2,29,20.4,32.1,14.4,22.4,48.8,25.5,2011
65,Brown University,41,29,15.3,13.7,32.4,28.3,42.9,31.9,2012
65,The Ohio State University - Columbus,41,29,13.3,0,40.5,25.5,59.5,17.7,2012
65,The Ohio State University - Columbus,41,29,13.1,0,40.5,25.9,58.9,18,2013
62,The Ohio State University - Columbus,41,29.1,15.5,0,41.7,20.9,61.3,20.2,2009
63,King's College London,7,29.1,14.1,23,31.4,16.7,50.7,25,2010
63,University of Heidelberg,3,29.1,16.9,27,17.6,23,50.6,28.6,2010
64,The Australian National University,2,29.1,14.3,19.8,32.3,24.4,43.1,28.9,2012
63,The Ohio State University - Columbus,41,29.2,17.7,0,40.8,21.5,61.2,19.5,2005
65,Brown University,42,29.2,16.6,13.6,32.3,29.5,42.1,31.7,2011
65,Leiden University,2,29.2,20.4,15.4,28,22.6,49.4,32.8,2011
64,University of Bristol,7,29.2,7.6,16.4,28.9,32.8,45.7,28.8,2013
61,Carnegie Mellon University,37,29.2,31.6,31.6,28.6,15.2,34.3,34.4,2015
61,Purdue University - West Lafayette,37,29.2,13.6,23.1,27.7,25.1,49,22.4,2015
61,Uppsala University,2,29.2,17.8,27.4,18.4,24.6,49.8,27.1,2015
62,Osaka University,3,29.3,12.5,0,23.6,31.1,66.8,29.2,2005
65,Uppsala University,2,29.3,25,32.2,13.3,24.6,49.3,21.5,2006
63,McGill University,3,29.3,27,0,29.6,24.2,58.7,32.7,2007
62,Carnegie Mellon University,40,29.3,31.2,32.8,31.8,11.3,35.7,30.9,2008
62,The Ohio State University - Columbus,40,29.3,15.8,0,41.9,19.8,63,20.3,2008
62,University of Melbourne,2,29.3,19.9,14.1,22.8,18.7,63.1,27,2010
63,McGill University,3,29.3,32.1,0,31.5,24.6,57.8,24.5,2012
60,Pennsylvania State University - University Park,36,29.3,10.3,0,41.6,31.6,53.4,22.4,2015
61,University of Paris Sud (Paris 11),2,29.4,33.2,34.2,13.6,19.6,44.9,27.9,2005
64,University of Paris Sud (Paris 11),2,29.4,32,33.5,13.3,20.8,44.7,29.7,2006
62,University of Bristol,7,29.4,10.2,17.9,29.6,26.7,47.3,32.8,2007
64,McGill University,3,29.4,31.1,0,32.3,24.2,58.2,24.5,2011
62,Carnegie Mellon University,39,29.4,32.4,31.6,28.6,15.6,34.4,34,2014
58,University of Geneva,3,29.4,27.1,28.2,21.4,27.6,38.1,29.4,2015
58,University of Oslo,1,29.4,28.1,32.6,15.9,18.2,49.1,26.9,2015
62,McGill University,3,29.5,27.7,0,30.8,22.4,59.7,33.5,2006
62,University of Bristol,7,29.5,10.5,17.9,29.8,26.3,47.8,33.2,2006
61,The Ohio State University - Columbus,41,29.5,16.6,0,41.9,22,61.2,19.8,2007
61,University of Bristol,7,29.5,9.7,17.9,28.2,28.1,47.8,33.5,2008
61,University of Bristol,7,29.5,9.5,17.9,29,28.6,46.7,33.7,2009
61,McGill University,3,29.5,31.1,0,32.2,22.9,59.6,25.3,2010
63,The Ohio State University - Columbus,41,29.5,14.4,0,41.1,26.2,59.7,17.9,2011
62,University of Heidelberg,3,29.5,14.3,26.1,19.1,27,49.4,28.4,2012
61,"Rutgers, The State University of New Jersey - New Brunswick",39,29.5,10.7,19,38.9,26.2,43,22.1,2013
61,University of Munich,3,29.5,26.7,19.3,16.2,28.1,51.2,30.4,2013
61,University of Pittsburgh,39,29.5,19.3,0,42.2,21.8,60.8,18,2013
60,Purdue University - West Lafayette,38,29.5,13.9,23.1,27.7,25.8,49.5,22.2,2014
60,Uppsala University,2,29.5,18.2,27.4,18.4,25.8,49.5,26.7,2014
61,Osaka University,3,29.6,12.1,0,25.5,30.7,67,29.9,2006
59,Carnegie Mellon University,40,29.6,30.4,32.8,30.8,14.6,35.1,31,2009
59,The Australian National University,1,29.6,15.5,12.6,36.3,27.2,44.1,32.2,2009
59,The Australian National University,1,29.6,15.1,12.6,36,27.8,43.8,31.1,2010
59,The Ohio State University - Columbus,40,29.6,15.1,0,41.7,22.8,62,19.1,2010
62,University of Heidelberg,3,29.6,15.6,27,19.1,24.1,50.4,30.4,2011
61,"Rutgers, The State University of New Jersey - New Brunswick",40,29.6,10.8,19.4,38.9,26,43.2,21.9,2012
60,University of Munich,2,29.7,27.1,19.7,16.2,28.8,51.4,28.9,2012
60,University of Zurich,2,29.7,5.3,24.2,25.9,28.1,50.9,25.3,2013
59,King's College London,7,29.7,21.7,21,27.6,19.3,53.7,24.9,2014
57,"University of California, Davis",35,29.7,0,0,41,33,58,26,2015
58,University of Florida,39,29.8,19.7,0,37,21.2,64.1,26.4,2009
59,The Hebrew University of Jerusalem,1,29.8,33.4,28.4,25.1,21.5,38.7,28.8,2013
56,Utrecht University,1,29.8,22.9,20,29.1,25.4,46,26.9,2015
60,Uppsala University,2,29.9,25.9,32.9,11.1,28.7,49.1,21.6,2005
60,McGill University,3,29.9,25.7,0,32.6,22.8,60.3,34.3,2008
61,Purdue University - West Lafayette,40,29.9,15.6,23.2,29.8,23.8,50.1,20.5,2011
59,University of Zurich,2,29.9,5.4,24.7,25.9,29.2,50.1,25,2012
58,McGill University,3,29.9,31.6,0,31.5,26.1,58.8,25.9,2013
57,University of Copenhagen,1,30,30.7,24.7,23.6,22.8,45.7,27.7,2005
57,University of Florida,40,30,15.4,0,35.1,25,65.2,25.8,2005
57,University of Zurich,2,30,12.5,27.3,19.2,30.3,47.2,30.6,2005
60,The Hebrew University of Jerusalem,1,30,32,20,25.5,25.2,44.7,29.5,2006
60,Carnegie Mellon University,40,30,32.8,32.8,32.3,12,36.7,31,2007
59,The Australian National University,1,30,15.8,12.6,35.7,30.5,43.4,32.2,2008
60,University of Melbourne,1,30,19.5,14.1,25,21.1,62.1,26.8,2011
58,University of Pittsburgh,39,30,19.6,0,42.2,23.5,60.9,18,2012
58,Pennsylvania State University - University Park,37,30,10.5,0,42.3,33,54.7,22.6,2014
55,King's College London,7,30,21.2,21,29.5,18.2,54.3,25.6,2015
59,"Rutgers, The State University of New Jersey - New Brunswick",39,30.1,11.8,19.9,39.5,26.5,43.3,21.9,2011
57,University of Melbourne,1,30.1,18,13.7,24,22.7,63,27.1,2012
57,Purdue University - West Lafayette,38,30.1,14.1,23.2,28.9,26.7,49.6,21.7,2013
54,University of Zurich,2,30.1,5.1,24,27.1,29,51.6,25.4,2015
56,The Australian National University,1,30.2,17.7,12.9,36.9,29,45.1,27.8,2005
58,University of North Carolina at Chapel Hill,39,30.2,11.8,0,37.8,29.3,60.1,27.7,2007
58,University of Zurich,2,30.2,11.8,26.8,22.2,28.3,48.4,31.1,2007
57,Technical University Munich,2,30.2,40.1,23.6,25.1,18.1,45.2,30.4,2009
58,Carnegie Mellon University,39,30.2,32.9,32.7,30.5,15.2,34.2,34.3,2010
56,Purdue University - West Lafayette,38,30.2,14.3,23.8,28.9,25.6,50.8,20.8,2012
54,Pennsylvania State University - University Park,37,30.2,10.7,0,47.1,31.4,52,21.8,2013
54,University of Heidelberg,2,30.2,14.1,25.5,19.1,28.5,51.1,30.9,2013
54,University of Melbourne,1,30.2,17.7,13.4,24,24.4,62.5,27.1,2013
57,Utrecht University,1,30.2,23.5,20,30,24.6,47.7,27,2014
53,Vanderbilt University,34,30.2,15.4,29,28.4,21.8,51,19,2015
55,University of North Carolina at Chapel Hill,39,30.3,12.5,0,35.1,32.8,59.5,27.3,2005
59,University of North Carolina at Chapel Hill,40,30.3,12.1,0,37.7,29.3,60.3,27.9,2006
57,The Hebrew University of Jerusalem,1,30.3,36.7,28.1,25,20,40.7,29.7,2011
57,University of Pittsburgh,38,30.3,21.2,0,42.1,24.2,60.8,18.1,2011
56,University of Zurich,2,30.3,5.3,24,27.1,29.3,52.1,25.1,2014
52,University of Munich,3,30.3,25.6,19.1,20.3,28.9,50.7,32.6,2015
58,University of Zurich,2,30.4,12.1,26.8,21.8,29.7,47.9,31.4,2006
57,The Australian National University,1,30.4,16.6,12.6,36.3,30,44.7,32.2,2007
58,University of Florida,39,30.4,20.2,0,37.2,22.7,64.9,26.6,2008
55,"Rutgers, The State University of New Jersey - New Brunswick",38,30.4,13.4,20,40.4,25.8,43.4,23.6,2009
55,University of Munich,1,30.4,32.3,22.9,16.2,24.5,52.5,31.4,2009
52,Carnegie Mellon University,36,30.4,33,31.8,30.7,18.1,34,33.6,2013
52,Utrecht University,1,30.4,23.9,20.1,29.9,25.9,47.1,25.1,2013
55,"University of California, Davis",36,30.4,0,0,41,35.1,59.3,26.1,2014
56,Carnegie Mellon University,39,30.5,33.7,32.8,32.6,12.7,37.5,31.8,2006
56,University of Copenhagen,1,30.5,29.6,24.2,23.1,24.8,46.4,30,2006
57,Technical University Munich,2,30.5,41.1,23.6,25.3,18.9,44.8,30.6,2008
56,University of Zurich,2,30.5,5.9,26.7,25.5,29.4,50.6,25.6,2011
53,Technical University Munich,1,30.5,36.8,22.2,24.6,21.3,47.2,28.8,2012
53,The Hebrew University of Jerusalem,1,30.5,33.9,29.1,25.1,23,40.2,28,2012
53,Utrecht University,1,30.5,24.3,20.6,29.9,26,47.3,24.8,2012
51,The University of Edinburgh,6,30.5,21.4,13.4,27.1,33.6,50.9,25.3,2013
51,Technical University Munich,2,30.5,34.8,21.6,22.3,23.2,48.3,32.3,2015
56,Technical University Munich,2,30.6,40.3,23.6,25.7,20.2,44.4,29.9,2007
55,Carnegie Mellon University,37,30.6,36.3,32.7,30.6,16.4,33.9,33.5,2011
51,Carnegie Mellon University,37,30.6,33.4,32.5,30.7,16.7,35.1,33.4,2012
51,The University of Edinburgh,6,30.6,21.7,13.7,27.1,34.8,50,24.7,2012
50,Technical University Munich,1,30.6,36.3,21.7,24.6,22.4,46.7,30.4,2013
54,Vanderbilt University,35,30.6,15.8,29,28.4,22.8,51.5,18.9,2014
56,Technical University Munich,2,30.7,39.2,23.5,24.9,19.5,46.5,29.2,2010
56,University of Pittsburgh,38,30.7,21.3,0,42,23.4,63.1,19,2010
53,Technical University Munich,3,30.7,35.7,21.6,22.3,23.7,48.6,31.2,2014
54,Carnegie Mellon University,38,30.8,30.7,33.5,32.4,14.7,38.3,31.4,2005
54,Technical University Munich,2,30.8,41.5,23.6,24.3,19.5,46.2,30.7,2006
54,The Australian National University,1,30.8,17.1,12.6,37.7,30.1,44.4,32.8,2006
53,Karolinska Institute,1,30.8,28.8,27.3,32.3,16.6,47,24.5,2007
53,The University of Edinburgh,6,30.8,21.2,16.7,26.7,34.2,47,29.3,2007
53,University of Munich,1,30.8,34.8,22.9,14.8,27.1,51.8,31.1,2007
55,The University of Edinburgh,6,30.8,20.2,16.7,26.3,32.3,49.7,30,2008
55,University of Munich,1,30.8,33.1,22.9,16.3,25.6,52.7,31.8,2008
52,University of Paris Sud (Paris 11),2,30.9,31.3,39.1,14.8,20.4,44.8,30.8,2007
54,"Rutgers, The State University of New Jersey",38,30.9,13.7,20,39.9,27.9,44,23.8,2008
54,University of Zurich,2,30.9,10.9,26.8,24.6,28.5,49,32.5,2009
54,"Rutgers, The State University of New Jersey",37,30.9,13.1,19.9,40.1,27.9,43.7,23.2,2010
54,The University of Edinburgh,6,30.9,19.2,16.6,26,34.2,51.3,23.9,2010
54,University of Munich,2,30.9,29.4,22.8,16.1,28.2,52.4,31.8,2011
52,"Rutgers, The State University of New Jersey - New Brunswick",34,30.9,10.5,18.8,34.5,30.1,49.8,24.5,2014
53,University of Florida,38,31,21.8,0,36.1,25.1,65.6,26.7,2006
53,University of Zurich,2,31,11.2,26.8,24.7,27.5,50.2,32.4,2008
53,The University of Edinburgh,6,31,19.7,16.7,27.1,32.2,50.1,30.5,2009
53,Vanderbilt University,36,31,17.7,29.5,31.4,20.2,50.8,19.1,2010
49,Vanderbilt University,35,31,16,29.2,32.4,21,50.9,18.4,2013
51,University of Southern California,33,31,0,31.7,34.8,22.8,52.3,19.7,2014
50,"University of California, Irvine",33,31,0,29.3,34.3,28.9,45.3,27.5,2015
51,University of Florida,38,31.1,21.2,0,37.1,24.8,65.5,26.5,2007
52,University of Munich,1,31.1,31.5,22.8,16.1,26.3,54.5,30.7,2010
49,Heidelberg University,1,31.1,13.9,25.3,23.7,27.5,52.2,32.2,2014
49,University of Munich,1,31.1,26.3,19.1,20.3,31.7,51.3,32.1,2014
53,The University of Manchester,6,31.2,27.3,19.3,23.6,22.6,57.3,30.4,2005
51,University of Zurich,2,31.2,10.7,26.7,26.4,28.7,50.6,27,2010
53,The University of Edinburgh,6,31.2,23.5,16.6,27,34.2,50.3,23.5,2011
52,Technical University Munich,2,31.3,43,24.1,24.8,20.7,46.5,29.2,2005
52,University of Pittsburgh,37,31.3,22.4,0,40.6,23.2,63.1,28.3,2008
52,Vanderbilt University,36,31.3,17.6,29.5,31.5,22.1,50.5,18.4,2011
47,"University of California, Davis",33,31.3,0,0,47.3,33.6,58.6,25.8,2013
47,University of Southern California,33,31.3,0,26.8,39.6,25.1,51.3,19.1,2013
49,University of Southern California,32,31.3,0,31.7,35.6,22.1,53.2,20.3,2015
51,University of Munich,1,31.4,37.1,21.1,15.7,30.4,51.9,30,2005
52,The University of Edinburgh,6,31.4,21.8,16.7,25.5,35.4,49.3,30.3,2006
50,University of Southern California,37,31.4,0,26.8,37.1,23.4,52.7,25.9,2007
50,Vanderbilt University,36,31.4,16.3,29.9,32.4,21.9,51,18.8,2012
46,The University of Texas Southwestern Medical Center at Dallas,32,31.4,19.3,34.7,30.6,32.9,34.6,20.6,2013
51,University of Munich,1,31.5,35.8,22.9,15.4,28,52.9,32.2,2006
52,Utrecht University,1,31.5,26.8,20.9,28.1,30.5,48.2,25.1,2009
49,Pennsylvania State University - University Park,35,31.5,10.8,0,47.1,34.7,54.8,22.1,2012
51,Karolinska Institute,1,31.6,27.4,27.3,31.8,18.3,50.1,25.7,2008
51,The University of Texas Southwestern Medical Center at Dallas,35,31.6,21.2,33.1,31.5,29.4,37.8,21.6,2011
48,The University of Texas Southwestern Medical Center at Dallas,34,31.6,19.6,35.5,30.6,29.5,37,21.9,2012
50,University of Southern California,37,31.7,0,27.3,37.7,23.6,52.8,25.8,2005
50,The University of Manchester,5,31.7,26.4,18.9,24.3,24.9,58.7,28.7,2006
50,Karolinska Institute,1,31.7,26.8,27.3,31.6,19.4,49.6,25.8,2009
50,University of Pittsburgh,37,31.7,21.9,0,42.3,24.1,62.6,28.7,2009
50,Utrecht University,1,31.7,26.1,20.9,27.9,30.4,48.2,26.1,2010
48,"University of California, Davis",33,31.7,0,0,47.9,33.5,60.2,24.9,2011
48,"University of California, Irvine",33,31.7,0,29.3,36.8,25.9,48.7,25.9,2011
48,Utrecht University,1,31.7,26.3,20.9,29.8,29,48.2,25.8,2011
47,The University of Edinburgh,5,31.8,22.6,17.1,26.1,35.8,49.4,29.9,2005
