Burns,Deluca,Juma,Kassinove,Knaus,Nzeako,Offenberg,Peters,Polansky,Propper,Sanborn,Silich,Wareck,,Combined
12,,10,14,12,14,12,12,18,17,10,14,17,,12
17,,15,12,18,12,21,18,17,13,11,14,17,,17
6,,24,11,14,10,9,14,12,12,11,14,12,,6
19,,12,11,11,11,9,11,13,15,16,20,21,,19
17,,16,13,20,12,11,20,14,12,11,17,21,,17
11,,15,12,11,12,11,11,10,14,13,14,9,,11
12,,11,8,12,9,21,12,13,15,13,21,15,,12
19,,21,15,17,12,9,17,14,14,14,16,16,,19
12,,8,14,15,13,19,15,14,14,11,20,19,,12
17,,11,18,14,15,16,14,15,14,12,16,14,,17
,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,14